"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"A2M","P01023",150573,110025.666666667,"P01023","nonmito",""
"AAAS","Q9NRG9",228123.666666667,223238,"Q9NRG9","nonmito",""
"AACS","Q86V21",112195.1,124862.333333333,"Q86V21","nonmito",""
"AAGAB","Q6PD74",258822.666666667,347113,"Q6PD74","nonmito",""
"AAK1","Q2M2I8",104355.333333333,105879.333333333,"Q2M2I8","nonmito",""
"AAMDC","Q9H7C9",124952.666666667,125084,"Q9H7C9","nonmito",""
"AAMP","Q13685",240557.666666667,163736.333333333,"Q13685","nonmito",""
"AAR2","Q9Y312",191440.333333333,180508.333333333,"Q9Y312","nonmito",""
"AARS1","P49588",370216.333333333,367512.666666667,"P49588","nonmito",""
"AARS2","Q5JTZ9",166317.333333333,172224.666666667,"Q5JTZ9","mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",211045.333333333,185448,"0","nonmito",""
"AASDHPPT","Q9NRN7",391816,389811.333333333,"Q9NRN7","nonmito",""
"AASS","Q9UDR5",77077.5666666667,124620.333333333,"Q9UDR5","mito",""
"AATF","Q9NY61",194991,153153,"Q9NY61","nonmito",""
"ABAT","P80404",59387.3666666667,73578.1,"P80404","mito",""
"ABCB10","Q9NRK6",170218.666666667,208970.333333333,"Q9NRK6","mito",""
"ABCB7","O75027;O75027-2",145936.666666667,134421.666666667,"O75027","mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",60818.4,55298.6,"Q9NUT2","mito",""
"ABCC1","P33527;P33527-9",69209.2666666667,69414.6333333333,"P33527","nonmito",""
"ABCC10","Q5T3U5;Q5T3U5-2",119645.666666667,116698.333333333,"Q5T3U5","nonmito",""
"ABCC4","O15439",83423.9,89722.8666666667,"O15439","nonmito",""
"ABCD3","P28288",218389.666666667,249691.333333333,"P28288","mito",""
"ABCE1","P61221",586046.333333333,516828,"P61221","nonmito",""
"ABCF1","Q8NE71",269766.666666667,260199,"Q8NE71","nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",311457.333333333,387926.666666667,"Q9UG63","nonmito",""
"ABCF3","Q9NUQ8",159978,162736.333333333,"Q9NUQ8","nonmito",""
"ABHD10","Q9NUJ1",179009,155054,"Q9NUJ1","mito",""
"ABHD11","Q8NFV4",154772.333333333,148433,"Q8NFV4","mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",108638.333333333,110804.666666667,"Q8N2K0","nonmito",""
"ABHD14B","Q96IU4",233939,220727,"Q96IU4","nonmito",""
"ABHD16A","O95870",83872.2,95261.7,"O95870","nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",52235.15,69915.8666666667,"Q5VST6","nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",251804,228084,"Q8IZP0","nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",174661.666666667,202715.333333333,"Q9NYB9","nonmito",""
"ABL1","P00519;P00519-2",53114.2,42167.0666666667,"P00519","nonmito",""
"ABL2","P42684;P42684-5;P42684-6;P42684-7",54242.8333333333,64343.4666666667,"P42684","nonmito",""
"ABLIM1","O14639;O14639-2;O14639-6",111385.666666667,89843.1666666667,"O14639","nonmito",""
"ABRACL","Q9P1F3",670058.666666667,708677.666666667,"Q9P1F3","nonmito",""
"ABRAXAS1","Q6UWZ7",48816.9333333333,55951,"Q6UWZ7","nonmito",""
"ABRAXAS2","Q15018",156136.666666667,141595.666666667,"Q15018","nonmito",""
"ABT1","Q9ULW3",308559.333333333,246686.333333333,"Q9ULW3","nonmito",""
"ACAA1","P09110",301716.333333333,337439.333333333,"P09110","mito",""
"ACAA2","P42765",141464.333333333,147559.333333333,"P42765","mito",""
"ACACA","Q13085",121326.333333333,146795.333333333,"Q13085","mito",""
"ACAD10","Q6JQN1;Q6JQN1-5",74427.0333333333,83033.7333333333,"Q6JQN1","mito",""
"ACAD11","Q709F0",206066,163177.333333333,"Q709F0","mito",""
"ACAD8","Q9UKU7",77938.6,113671.333333333,"Q9UKU7","mito",""
"ACAD9","Q9H845",173493.666666667,153526.333333333,"Q9H845","mito",""
"ACADM","P11310;P11310-2",573040.333333333,531504.666666667,"P11310","mito",""
"ACADS","P16219",127836.333333333,110549.666666667,"P16219","mito",""
"ACADSB","P45954",101354.866666667,83209.9,"P45954","mito",""
"ACADVL","P49748;P49748-3",142787,145652.333333333,"P49748","mito",""
"ACAP2","Q15057",102897.5,99265.4,"Q15057","nonmito",""
"ACAT1","P24752",542025.666666667,540739.333333333,"P24752","mito",""
"ACAT2","Q9BWD1",487841.333333333,682183.666666667,"Q9BWD1","nonmito",""
"ACBD3","Q9H3P7",321550,405642.333333333,"Q9H3P7","nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",79317.1,72097.5666666667,"Q5T8D3","nonmito",""
"ACBD6","Q9BR61",97653.1,130254,"Q9BR61","nonmito",""
"ACIN1","Q9UKV3",280105,293487.666666667,"Q9UKV3","nonmito",""
"ACLY","P53396",618879.333333333,696581,"P53396","mito",""
"ACO1","P21399",168091,197682.333333333,"P21399","nonmito",""
"ACO2","Q99798",246820.333333333,239474,"Q99798","mito",""
"ACOT1","Q86TX2",282430.333333333,263742,"Q86TX2","nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",264645,313576,"Q9NPJ3","mito",""
"ACOT7","O00154-4",683218.666666667,593273.666666667,"O00154","mito",""
"ACOT8","O14734",118341.333333333,124898.666666667,"O14734","nonmito",""
"ACOT9","Q9Y305",211180.333333333,186486.333333333,"Q9Y305","mito",""
"ACOX1","Q15067;Q15067-2",111771.666666667,139009,"Q15067","nonmito",""
"ACP1","P24666",935404.333333333,912346.666666667,"P24666","nonmito",""
"ACP2","P11117",182232.666666667,195184,"P11117","nonmito",""
"ACSF2","Q96CM8;Q96CM8-2;Q96CM8-3",37218.3333333333,37300.2333333333,"Q96CM8","mito",""
"ACSF3","Q4G176",75381.7333333333,79003.5,"Q4G176","mito",""
"ACSL1","P33121;P33121-2",154890.666666667,124040,"P33121","mito",""
"ACSL3","O95573",277168,337411,"O95573","nonmito",""
"ACSL4","O60488;O60488-2",112014,160078.333333333,"O60488","nonmito",""
"ACSS2","Q9NR19;Q9NR19-2",107851.366666667,109915,"Q9NR19","nonmito",""
"ACTB","P60709",1990266.66666667,2020436.66666667,"P60709","nonmito",""
"ACTBL2","Q562R1",1911096.66666667,2119653.33333333,"Q562R1","nonmito",""
"ACTC1","P68032",2299686.66666667,2425666.66666667,"P68032","nonmito",""
"ACTL6A","O96019",389177.666666667,359455,"O96019","nonmito",""
"ACTN1","P12814",555174.333333333,500141.333333333,"P12814","nonmito",""
"ACTN4","O43707",527744.666666667,454446.666666667,"O43707","nonmito",""
"ACTR10","Q9NZ32",147765.333333333,143440.666666667,"Q9NZ32","nonmito",""
"ACTR1A","P61163",711201.666666667,647282.666666667,"P61163","nonmito",""
"ACTR1B","P42025",232054,250754.666666667,"P42025","nonmito",""
"ACTR2","P61160",694311.333333333,713222,"P61160","nonmito",""
"ACTR3","P61158",536165.333333333,548553.666666667,"P61158","nonmito",""
"ACTR3B","Q9P1U1",697471.666666667,722466.666666667,"Q9P1U1","nonmito",""
"ACTR5","Q9H9F9",167739.666666667,171068.333333333,"Q9H9F9","nonmito",""
"ACTR6","Q9GZN1",202788.666666667,214496.333333333,"Q9GZN1","nonmito",""
"ACTR8","Q9H981",199916,171913,"Q9H981","nonmito",""
"ACVR2B","Q13705",61769.7,67932.1666666667,"Q13705","nonmito",""
"ACYP1","P07311",301413.666666667,282609.333333333,"P07311","nonmito",""
"ACYP2","P14621",78799.1,78660.6666666667,"P14621","nonmito",""
"ADA","P00813",59499.9666666667,41875.5333333333,"P00813","nonmito",""
"ADAM10","O14672",135552.333333333,143148,"O14672","nonmito",""
"ADAM17","P78536",115825.333333333,135204.333333333,"P78536","nonmito",""
"ADAM9","Q13443",87440.7666666667,75806.8,"Q13443","nonmito",""
"ADAR","P55265;P55265-4",323086.666666667,318649,"P55265","nonmito",""
"ADAT2","Q7Z6V5;Q7Z6V5-2",86532.9666666667,127902.666666667,"Q7Z6V5","nonmito",""
"ADCK1","Q86TW2;Q86TW2-2",95355.6,115727,"Q86TW2","mito",""
"ADCY9","O60503",119001.95,31297.5,"O60503","nonmito",""
"ADD1","P35611;P35611-2;P35611-3;P35611-6",214328,218893.666666667,"P35611","nonmito",""
"ADD2","P35612",87175.3333333333,89418.4666666667,"P35612","nonmito",""
"ADD3","Q9UEY8-2",194939.666666667,214094.333333333,"Q9UEY8","nonmito",""
"ADGRL2","O95490;O95490-2;O95490-5;O95490-6;O95490-7",83713.3333333333,87418.8,"O95490","nonmito",""
"ADH5","P11766",462860.333333333,433172.333333333,"P11766","nonmito",""
"ADI1","Q9BV57",569184.333333333,660837,"Q9BV57","nonmito",""
"ADK","P55263",179580.333333333,179489.666666667,"P55263","nonmito",""
"ADNP","Q9H2P0",141656.666666667,142585,"Q9H2P0","nonmito",""
"ADO","Q96SZ5",147181.666666667,154365,"Q96SZ5","nonmito",""
"ADPGK","Q9BRR6;Q9BRR6-2",133875.333333333,143380.333333333,"Q9BRR6","nonmito",""
"ADPRS","Q9NX46",136650,134576.666666667,"Q9NX46","nonmito",""
"ADRM1","Q16186",594646.666666667,538826.666666667,"Q16186","nonmito",""
"ADSL","P30566",349228,290175.666666667,"P30566","nonmito",""
"ADSS2","P30520",442504.333333333,574075.666666667,"P30520","nonmito",""
"AFDN","P55196;P55196-5",192354.333333333,230775,"P55196","nonmito",""
"AFF4","Q9UHB7",137315,134639.333333333,"Q9UHB7","nonmito",""
"AFG3L2","Q9Y4W6",123451.666666667,121258,"Q9Y4W6","mito",""
"AGAP3","Q96P47;Q96P47-2;Q96P47-4",94287.2333333333,98373.2333333333,"Q96P47","nonmito",""
"AGFG1","P52594;P52594-2;P52594-3;P52594-4",102491.6,120836.666666667,"P52594","nonmito",""
"AGFG2","O95081",47683.3666666667,67837.9333333333,"O95081","nonmito",""
"AGK","Q53H12",259649.666666667,267007,"Q53H12","mito",""
"AGL","P35573",249451.333333333,260853.666666667,"P35573","nonmito",""
"AGO1","Q9UL18",91865.1,89351.8,"Q9UL18","nonmito",""
"AGO2","Q9UKV8",116404.666666667,107591.666666667,"Q9UKV8","nonmito",""
"AGPAT1","Q99943",209259.666666667,213751,"Q99943","nonmito",""
"AGPAT4","Q9NRZ5",93087.6666666667,111671.666666667,"Q9NRZ5","mito",""
"AGPAT5","Q9NUQ2",78182.4,73729.9666666667,"Q9NUQ2","mito",""
"AGPS","O00116",310831.666666667,318320.333333333,"O00116","nonmito",""
"AGTPBP1","Q9UPW5",92929.2333333333,91737.3666666667,"Q9UPW5","nonmito",""
