"genename","uniprot","mean_patient","mean_ctrl","mito","complex"
"ADAM9","Q13443",38955.5666666667,36726.76,"nonmito",""
"ADAR","P55265;P55265-4",112116.333333333,70973.74,"nonmito",""
"ADCY9","O60503",55026.4333333333,50177.26,"nonmito",""
"ADD1","P35611;P35611-2;P35611-3;P35611-6",112758,140971.6,"nonmito",""
"ADD3","Q9UEY8-2",117938.666666667,127521.62,"nonmito",""
"ADGRE5","P48960;P48960-2;P48960-3",103083.666666667,68808.94,"nonmito",""
"ADH5","P11766",371967,256258.6,"nonmito",""
"ADI1","Q9BV57",56651.4666666667,112605.76,"nonmito",""
"ADK","P55263",77467.4,100318.32,"nonmito",""
"ADO","Q96SZ5",89093.6666666667,58954.25,"nonmito",""
"ADPGK","Q9BRR6;Q9BRR6-2",58382.4,57427.7,"nonmito",""
"ADPRS","Q9NX46",106940.666666667,66257.92,"nonmito",""
"ADRM1","Q16186",174682,150763.48,"nonmito",""
"ADSL","P30566",91471.2,96241.92,"nonmito",""
"ADSS2","P30520",150490.666666667,176887,"nonmito",""
"AEBP1","Q8IUX7",51975.1,59778.2,"nonmito",""
"AFAP1","Q8N556;Q8N556-2",58870.1666666667,79567.92,"nonmito",""
"AFDN","P55196-1;P55196-2;P55196-3",23041.5666666667,40134.16,"nonmito",""
"AFG3L2","Q9Y4W6",59535.0666666667,64802.74,"mito",""
"AGAP3","Q96P47;Q96P47-2;Q96P47-4",20004.1666666667,16011.158,"nonmito",""
"AGFG1","P52594;P52594-2;P52594-3;P52594-4",99131.5666666667,89602.44,"nonmito",""
"AGFG2","O95081",29652.1666666667,34247.425,"nonmito",""
"AGK","Q53H12",83577.0333333333,82095.7,"mito",""
"AGL","P35573",78463.3333333333,71669.96,"nonmito",""
"AGO1","Q9UL18",47378.2666666667,41009.02,"nonmito",""
"AGO2","Q9UKV8",58535.2666666667,51791.68,"nonmito",""
"AGO3","Q9H9G7",67736.3,72767.84,"nonmito",""
"AGPAT2","O15120",130574,87150.4666666667,"nonmito",""
"AGPAT3","Q9NRZ7",60830.9333333333,57400.66,"nonmito",""
"AGPAT4","Q9NRZ5",39251.2333333333,24844.675,"mito",""
"AGPS","O00116",144645.333333333,109307.02,"nonmito",""
"AGTRAP","Q6RW13",193951.333333333,95053.225,"nonmito",""
"AHCTF1","Q8WYP5;Q8WYP5-2;Q8WYP5-3",22647.3333333333,22265.26,"nonmito",""
"AHCY","P23526",259826.333333333,300816.6,"nonmito",""
"AHCYL1","O43865",118001.333333333,110747.88,"mito",""
"AHNAK","Q09666",189743,349898.4,"nonmito",""
"AHNAK2","Q8IVF2-3",108015.333333333,116988.54,"nonmito",""
"AHR","P35869",10923.5,10854.588,"nonmito",""
"AHSA1","O95433",169630,159565.2,"nonmito",""
"AIDA","Q96BJ3",89460.2666666667,94179.92,"nonmito",""
"AIFM1","O95831;O95831-3",152693,121642.6,"mito",""
"AIFM2","Q9BRQ8",104230.333333333,64062.76,"mito",""
"AIMP1","Q12904",146318.666666667,92120.16,"nonmito",""
"AIMP2","Q13155",165118,130066.6,"nonmito",""
"AIP","O00170",87984.3666666667,79573.82,"nonmito",""
"AK1","P00568",207115.333333333,203874.6,"nonmito",""
"AK2","P54819;P54819-2",114672,121910.94,"mito",""
"AK3","Q9UIJ7",135807,136417.2,"mito",""
"AK4","P27144",81133,50765.54,"mito",""
"AK5","Q9Y6K8;Q9Y6K8-3",166930,284187.4,"nonmito",""
"AK6","Q9Y3D8",67293.9,73591.96,"nonmito",""
"AKAP11","Q9UKA4",32958,26170.15,"nonmito",""
"AKAP12","Q02952;Q02952-2;Q02952-3",40581.5,44448.8,"nonmito",""
"AKAP13","Q12802",43180.4,43649.88,"nonmito",""
"AKAP17A","Q02040",340920,207083.2,"nonmito",""
"AKAP2","Q9Y2D5-6",145532,117268.46,"nonmito",""
"AKAP9","Q99996;Q99996-1;Q99996-3;Q99996-5;Q99996-6",21906.2,27176.78,"nonmito",""
"AKR1A1","P14550",276043,206908.2,"nonmito",""
"AKR1B1","P15121",248107.666666667,244587.2,"nonmito",""
"AKR1C1","Q04828",295524.333333333,221209.2,"nonmito",""
"AKR1C3","P42330",255724,120402.1,"nonmito",""
"AKR7A2","O43488",271056,263810.2,"mito",""
"AKT1","P31749",71683.5666666667,67149.28,"nonmito",""
"AKT1S1","Q96B36",153596.666666667,171910.4,"nonmito",""
"AKT2","P31751",44625.9,49967.44,"nonmito",""
"AKT3","Q9Y243;Q9Y243-2",38031.5333333333,23105.275,"nonmito",""
"AKTIP","Q9H8T0;Q9H8T0-2",54497.4666666667,36386.08,"nonmito",""
"ALAD","P13716;P13716-2",133022.666666667,109651,"nonmito",""
"ALCAM","Q13740;Q13740-2",131561.666666667,150254.8,"nonmito",""
"ALDH16A1","Q8IZ83",95201.5,60142.12,"nonmito",""
"ALDH18A1","P54886;P54886-2",144905,164565.4,"mito",""
"ALDH1A3","P47895",128899.633333333,146453.04,"nonmito",""
"ALDH1B1","P30837",309101,104999.78,"mito",""
"ALDH1L2","Q3SY69",256872.666666667,151451.3,"mito",""
"ALDH2","P05091",97124.1333333333,97885.02,"mito",""
"ALDH3A2","P51648;P51648-2",57543.5333333333,58724.42,"mito",""
"ALDH3B1","P43353",69190.2,63264.225,"nonmito",""
"ALDH4A1","P30038",83510.7333333333,77100.8,"mito",""
"ALDH6A1","Q02252;Q02252-2",100367.633333333,121429.8,"mito",""
"ALDH7A1","P49419-2",193436,156071.8,"mito",""
"ALDH9A1","P49189",218765.333333333,187525,"mito",""
"ALDOA","P04075",731862.666666667,600070.6,"nonmito",""
"ALDOC","P09972",164190.333333333,119860.4,"nonmito",""
"ALG1","Q9BT22",111175,84412.36,"nonmito",""
"ALG11","Q2TAA5",64716.3,68665.62,"nonmito",""
"ALG12","Q9BV10",47782.7666666667,50943.74,"nonmito",""
"ALG13","Q9NP73-2",24534.3333333333,32223.2,"nonmito",""
"ALG2","Q9H553",139414,103963.74,"nonmito",""
"ALG5","Q9Y673",122302,86175.06,"nonmito",""
"ALG9","Q9H6U8;Q9H6U8-3",65735.5666666667,51080.45,"nonmito",""
"ALKBH5","Q6P6C2;Q6P6C2-1",41415.1666666667,32202.24,"nonmito",""
"ALYREF","Q86V81",323320.333333333,268139,"nonmito",""
"AMDHD2","Q9Y303",137924.333333333,90165.64,"nonmito",""
"AMFR","Q9UKV5",32813.7333333333,81499.3,"nonmito",""
"AMPD2","Q01433",101539.466666667,127043.8,"nonmito",""
"AMPD3","Q01432;Q01432-4;Q01432-5;Q01432-6",19034.3,19856.8575,"nonmito",""
"AMPH","P49418;P49418-2",70904.9333333333,73030.46,"nonmito",""
"ANAPC1","Q9H1A4",42855.3666666667,45998.68,"nonmito",""
"ANAPC4","Q9UJX5;Q9UJX5-2;Q9UJX5-3",44642.6666666667,40327.1333333333,"nonmito",""
"ANAPC5","Q9UJX4",18312.7,29185.26,"nonmito",""
"ANAPC7","Q9UJX3;Q9UJX3-2",36626.9,46448.92,"nonmito",""
"ANGPTL2","Q9UKU9",73194.9,51153.72,"nonmito",""
"ANK2","Q01484;Q01484-2;Q01484-5",54005.1,54232.7,"nonmito",""
"ANKFY1","Q9P2R3",110363.666666667,94470.8,"nonmito",""
"ANKHD1","Q8IWZ3;Q8IWZ3-4;Q8IWZ3-6",33907.1,63682,"nonmito",""
"ANKLE2","Q86XL3",52172.2666666667,51996.34,"nonmito",""
"ANKMY2","Q8IV38",23105.2,28831.75,"nonmito",""
"ANKRD13A","Q8IZ07",65231.0666666667,80522.36,"nonmito",""
"ANKRD17","O75179;O75179-2;O75179-7",50458.5666666667,63908.58,"nonmito",""
"ANKRD28","O15084;O15084-1;O15084-4",29026.5333333333,42173.62,"nonmito",""
"ANKZF1","Q9H8Y5",42053.0333333333,54699.075,"nonmito",""
"ANO10","Q9NW15",124481,125576.98,"nonmito",""
"ANO6","Q4KMQ2;Q4KMQ2-2;Q4KMQ2-3",72459.4333333333,58753.72,"nonmito",""
"ANP32A","P39687",192695.666666667,192915.4,"nonmito",""
"ANP32B","Q92688;Q92688-2",229529,234164.2,"nonmito",""
"ANP32E","Q9BTT0",106243.466666667,97356.66,"nonmito",""
"ANPEP","P15144",354072.333333333,511804.2,"nonmito",""
"ANTXR1","Q9H6X2;Q9H6X2-5",111635.666666667,75204.72,"nonmito",""
"ANTXR2","P58335-4",44325.7,53728.9,"nonmito",""
"ANXA1","P04083",997102.333333333,1116552.8,"nonmito",""
"ANXA11","P50995;P50995-2",262410.333333333,379296.4,"nonmito",""
"ANXA2","P07355",1135456.66666667,1372206,"nonmito",""
"ANXA3","P12429",91143.6666666667,91937.6,"nonmito",""
"ANXA4","P09525",485988.666666667,424769.4,"nonmito",""
"ANXA5","P08758",1268243.33333333,1473242,"nonmito",""
"ANXA6","P08133",654195,662150.6,"nonmito",""
"ANXA7","P20073;P20073-2",215193.666666667,244730.6,"nonmito",""
"AP1B1","Q10567;Q10567-2",186261.666666667,204378.2,"nonmito",""
"AP1G1","O43747;O43747-2",116032.333333333,134212.8,"nonmito",""
"AP1M1","Q9BXS5;Q9BXS5-2",173210,149580.8,"nonmito",""
"AP1S1","P61966",87645.6333333333,76535.64,"nonmito",""
"AP1S2","P56377",99643.2,105519.66,"nonmito",""
"AP2A1","O95782;O95782-2",161946,203458.8,"nonmito",""
"AP2A2","O94973",160354,166651.4,"nonmito",""
"AP2B1","P63010;P63010-2",184330.333333333,208656.6,"nonmito",""
"AP2M1","Q96CW1;Q96CW1-2",260495.333333333,238470,"nonmito",""
"AP2S1","P53680",213785.666666667,203614.2,"nonmito",""
"AP3B1","O00203;O00203-3",115338.666666667,139913.4,"nonmito",""
"AP3B2","Q13367;Q13367-4",84686.9333333333,98663.32,"nonmito",""
"AP3D1","O14617;O14617-5",100936.633333333,110310.4,"nonmito",""
"AP3M1","Q9Y2T2",178335.333333333,196732.4,"nonmito",""
"AP3M2","P53677",82178.4,102126.62,"nonmito",""
"AP3S1","Q92572",163608.666666667,185163.6,"nonmito",""
"AP4B1","Q9Y6B7",12494.4833333333,26223.8333333333,"nonmito",""
"AP4E1","Q9UPM8",42437.8,32568.575,"nonmito",""
"AP4M1","O00189",57392.4666666667,62504.64,"nonmito",""
"AP5B1","Q2VPB7",23242.4,25212.64,"nonmito",""
"AP5Z1","O43299",30273.8666666667,22403.5,"nonmito",""
"APAF1","O14727;O14727-4;O14727-5",55751.75,43580.64,"nonmito",""
"APBB1","O00213;O00213-2",185033,224625,"nonmito",""
"APBB1IP","Q7Z5R6",74064.0333333333,69304.36,"nonmito",""
"APEH","P13798",224444.666666667,210720,"nonmito",""
"APEX1","P27695",161430,104886.74,"mito",""
"APH1A","Q96BI3;Q96BI3-2",97341.2333333333,44024.08,"nonmito",""
"API5","Q9BZZ5",97776.8666666667,132440.6,"nonmito",""
"APIP","Q96GX9",65539.8,59136.18,"nonmito",""
"APLP2","Q06481;Q06481-3;Q06481-6",22317.3,61938.7,"nonmito",""
"APMAP","Q9HDC9",334612.333333333,400037,"nonmito",""
"APOB","P04114",172199.666666667,178610.4,"nonmito",""
"APOBEC3B","Q9UH17",46813.4333333333,59750.75,"nonmito",""
"APOBEC3C","Q9NRW3",164036.333333333,121079.34,"nonmito",""
"APOL2","Q9BQE5",295484.666666667,97361.62,"nonmito",""
"APOO","Q9BUR5;Q9BUR5-2",107977.933333333,85340.38,"mito",""
"APOOL","Q6UXV4",77294.6,86346.32,"mito",""
"APP","P05067;P05067-9",66002.7333333333,60174.8,"nonmito",""
"APPL1","Q9UKG1",65443.7333333333,49905.42,"nonmito",""
"APPL2","Q8NEU8",91868.3666666667,126903,"nonmito",""
"APRT","P07741",199600.666666667,222294.2,"nonmito",""
"AQR","O60306",67433.6333333333,74285.9,"nonmito",""
"ARAF","P10398",63922.3666666667,56713.92,"nonmito",""
"ARAP1","Q96P48;Q96P48-3",65906.1,68056.04,"nonmito",""
"ARCN1","P48444",160131.666666667,166988.4,"nonmito",""
"ARF1","P84077",558804,500372.8,"nonmito",""
"ARF4","P18085",1473890,1178988,"nonmito",""
"ARF5","P84085",188900.666666667,118765.2,"mito",""
"ARF6","P62330",289267,247486.8,"nonmito",""
"ARFGAP1","Q8N6T3",72939.4333333333,55686.44,"nonmito",""
"ARFGAP2","Q8N6H7",112001.333333333,84206.94,"nonmito",""
"ARFGAP3","Q9NP61;Q9NP61-2",97433,86412.5,"nonmito",""
"ARFGEF1","Q9Y6D6",47010.1666666667,51347.02,"nonmito",""
"ARFGEF2","Q9Y6D5",44742.1666666667,53747.84,"nonmito",""
"ARFIP1","P53367-2",74405.2,82888.68,"nonmito",""
"ARFIP2","P53365;P53365-3",42736.8,48717.16,"nonmito",""
"ARGLU1","Q9NWB6",67056.6,54149.24,"nonmito",""
"ARHGAP1","Q07960",246882.333333333,270065.6,"nonmito",""
"ARHGAP10","A1A4S6",29914.05,43644.86,"nonmito",""
"ARHGAP12","Q8IWW6;Q8IWW6-2;Q8IWW6-4",27264.9,38958.42,"nonmito",""
"ARHGAP17","Q68EM7",96016.7,141276.4,"nonmito",""
"ARHGAP18","Q8N392",56508.2666666667,78302.22,"nonmito",""
"ARHGAP21","Q5T5U3",20269.8333333333,20227.74,"nonmito",""
"ARHGAP22","Q7Z5H3;Q7Z5H3-2;Q7Z5H3-3;Q7Z5H3-5",65336.7,75747.775,"nonmito",""
"ARHGAP24","Q8N264;Q8N264-3",52181.1666666667,40532.64,"nonmito",""
"ARHGAP29","Q52LW3",48097.6666666667,74841.18,"nonmito",""
"ARHGAP35","Q9NRY4",40830.3,62737.94,"nonmito",""
"ARHGAP5","Q13017;Q13017-2",40408.3666666667,31889.76,"nonmito",""
"ARHGDIA","P52565",395271.666666667,323970.2,"nonmito",""
"ARHGDIB","P52566",32204.11,87414.9,"nonmito",""
"ARHGEF1","Q92888;Q92888-3",94411,96776.42,"nonmito",""
"ARHGEF10","O15013;O15013-4;O15013-5;O15013-6;O15013-7",57173.6666666667,51268.68,"nonmito",""
"ARHGEF11","O15085;O15085-2",32268.8333333333,55345.38,"nonmito",""
"ARHGEF12","Q9NZN5",34199.5,60151,"nonmito",""
"ARHGEF17","Q96PE2",48825.6333333333,39490.38,"nonmito",""
"ARHGEF18","Q6ZSZ5;Q6ZSZ5-1;Q6ZSZ5-2;Q6ZSZ5-5;Q6ZSZ5-6",58094.3666666667,102503.68,"nonmito",""
"ARHGEF2","Q92974;Q92974-2;Q92974-3",101644.333333333,107192.28,"nonmito",""
"ARHGEF40","Q8TER5",30309.7333333333,48136.6,"nonmito",""
"ARHGEF6","Q15052;Q15052-2",111930.966666667,122506.2,"nonmito",""
"ARHGEF7","Q14155-1;Q14155-5",107298.333333333,104162.46,"nonmito",""
"ARID1B","Q8NFD5;Q8NFD5-2;Q8NFD5-3",19374.75,15467.0566666667,"nonmito",""
"ARIH1","Q9Y4X5",49706.2666666667,46203.22,"nonmito",""
"ARIH2","O95376",59650.0333333333,48410.24,"nonmito",""
"ARL1","P40616;P40616-2",414612,367229.4,"nonmito",""
"ARL2","P36404",144664.666666667,135604.44,"mito",""
"ARL2BP","Q9Y2Y0;Q9Y2Y0-2",83542.3,73603.6,"nonmito",""
"ARL3","P36405",256193.666666667,238988.6,"nonmito",""
"ARL6IP4","Q66PJ3;Q66PJ3-2;Q66PJ3-3;Q66PJ3-7",45795.4666666667,34822.6,"nonmito",""
"ARL6IP5","O75915",232546,255478.2,"nonmito",""
"ARL8B","Q9NVJ2",363676.666666667,278300.2,"nonmito",""
"ARMC1","Q9NVT9",53856.0333333333,52393.2666666667,"nonmito",""
"ARMC10","Q8N2F6;Q8N2F6-2;Q8N2F6-3;Q8N2F6-4",44859.4,48212.52,"mito",""
"ARMC6","Q6NXE6;Q6NXE6-2",24906.4,31770.38,"nonmito",""
"ARMC8","Q8IUR7",60271.7,59378.66,"nonmito",""
"ARMC9","Q7Z3E5;Q7Z3E5-2",128970.666666667,115310.7,"nonmito",""
"ARMCX1","Q9P291",96150.3333333333,78228.32,"mito",""
"ARMCX2","Q7L311",91339.3333333333,89988.18,"mito",""
"ARMCX3","Q9UH62",153942,118968.2,"mito",""
"ARMH3","Q5T2E6",33836.8,32038.3,"nonmito",""
"ARMT1","Q9H993",83681,111762.94,"nonmito",""
"ARPC1A","Q92747",193076.666666667,169947,"nonmito",""
"ARPC1B","O15143",240188,185715.8,"nonmito",""
"ARPC2","O15144",289342,272715.2,"nonmito",""
"ARPC3","O15145",164129,229788.4,"nonmito",""
"ARPC4","P59998;P59998-3",483382.666666667,472308.2,"nonmito",""
"ARPC5","O15511",252297.666666667,187638.4,"nonmito",""
"ARPC5L","Q9BPX5",377554,358114,"nonmito",""
"ARPIN","Q7Z6K5;Q7Z6K5-2",90698.5666666667,62169.02,"nonmito",""
"ARSA","P15289;P15289-2",296114.333333333,167407.2,"nonmito",""
"ARSB","P15848",154692.333333333,89712.66,"nonmito",""
"AS3MT","Q9HBK9",36508.5333333333,47277.3,"nonmito",""
"ASAH1","Q13510;Q13510-2",455005,194072.2,"nonmito",""
"ASAP1","Q9ULH1;Q9ULH1-2",60199.7666666667,64991.18,"nonmito",""
"ASAP2","O43150;O43150-2",24918.6333333333,28684.2,"nonmito",""
"ASCC1","Q8N9N2-2",53390.9333333333,65659.62,"nonmito",""
"ASCC2","Q9H1I8",71534.1,104495.4,"nonmito",""
"ASCC3","Q8N3C0",58834.2666666667,79225.04,"nonmito",""
"ASF1A","Q9Y294",45450.1666666667,19186.5,"nonmito",""
"ASH2L","Q9UBL3;Q9UBL3-3",25039.6,27937.72,"nonmito",""
"ASL","P04424;P04424-2",114333,146553,"nonmito",""
"ASMTL","O95671",33545.1666666667,45725.58,"nonmito",""
"ASNS","P08243;P08243-2",189041,153514.16,"nonmito",""
"ASPH","Q12797;Q12797-10",198957,295124.2,"nonmito",""
"ASPSCR1","Q9BZE9;Q9BZE9-2",59994.6,55940.14,"nonmito",""
"ASS1","P00966",277928.333333333,306476.48,"nonmito",""
"ATAD1","Q8NBU5",104733.2,76228.54,"mito",""
"ATAD3A","Q9NVI7-2",195465.666666667,234424,"mito",""
"ATE1","O95260-2",52977.6666666667,62242.02,"nonmito",""
"ATF6B","Q99941;Q99941-2",33645.5666666667,41511.76,"nonmito",""
"ATG101","Q9BSB4",47993.8,31954.9666666667,"nonmito",""
"ATG16L1","Q676U5;Q676U5-2",55623.4333333333,62109.12,"nonmito",""
"ATG2A","Q2TAZ0;Q2TAZ0-3",30350.3333333333,35798.52,"nonmito",""
"ATG2B","Q96BY7",32193.3333333333,41926.06,"nonmito",""
"ATG3","Q9NT62",132047.333333333,130166,"nonmito",""
"ATG4B","Q9Y4P1;Q9Y4P1-2;Q9Y4P1-6",43885.1333333333,43475.32,"nonmito",""
"ATG5","Q9H1Y0",82978.4333333333,77323.52,"nonmito",""
"ATG7","O95352",66672.0666666667,81827.9,"nonmito",""
"ATG9A","Q7Z3C6",70576.5,52323.82,"nonmito",""
"ATIC","P31939",262581.666666667,281729,"nonmito",""
"ATL1","Q8WXF7;Q8WXF7-2",44508.4,49187.14,"nonmito",""
"ATL2","Q8NHH9;Q8NHH9-3;Q8NHH9-5",34196.2333333333,31778.02,"nonmito",""
"ATL3","Q6DD88",209269.333333333,202455.4,"nonmito",""
"ATOX1","O00244",82377.8,92993.2,"nonmito",""
"ATP11B","Q9Y2G3",57857,81971.8,"nonmito",""
"ATP11C","Q8NB49-3",66801.5333333333,78417.8,"nonmito",""
"ATP13A1","Q9HD20;Q9HD20-2",114455,95387.86,"nonmito",""
"ATP13A3","Q9H7F0",59215.5666666667,57785.26,"nonmito",""
"ATP1A1","P05023;P05023-4",170772.333333333,164045,"nonmito",""
"ATP1B1","P05026;P05026-2",96195.1,63912.22,"nonmito",""
"ATP1B3","P54709",363147.666666667,359941.8,"nonmito",""
"ATP2A2","P16615",185214,181716,"nonmito",""
"ATP2B1","P20020;P20020-1;P20020-4;P20020-6",145611.666666667,165453.2,"nonmito",""
"ATP2B4","P23634;P23634-6;P23634-7;P23634-8",170641.333333333,226659,"nonmito",""
"ATP2C1","P98194-3",64465.0666666667,64117.06,"nonmito",""
"ATP5F1A","P25705",891939.333333333,973373.2,"mito","CV"
"ATP5F1B","P06576",765940,726352.8,"mito","CV"
"ATP5F1C","P36542;P36542-2",306359.333333333,299315,"mito","CV"
"ATP5F1D","P30049",104623,71564.9,"mito","CV"
"ATP5IF1","Q9UII2",82066.9666666667,83146.92,"mito","CV"
"ATP5MD","Q96IX5",142579,114149.44,"mito","CV"
"ATP5ME","P56385",104554.6,123635.26,"mito","CV"
"ATP5MF","P56134;P56134-3",719225.666666667,631421,"mito","CV"
"ATP5MG","O75964",256468,306790.2,"mito","CV"
"ATP5MPL","P56378",117732.666666667,114894.76,"mito","CV"
"ATP5PB","P24539",141233.666666667,144759.6,"mito","CV"
"ATP5PD","O75947",97442.2666666667,105596.32,"mito","CV"
"ATP5PO","P48047",481668,476888.6,"mito","CV"
"ATP6AP1","Q15904",129872.333333333,122719.2,"nonmito",""
"ATP6AP2","O75787;O75787-2",59447.1333333333,63192.58,"nonmito",""
