"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"A2M","P01023",96795.1,110025.666666667,"P01023","nonmito",""
"AAAS","Q9NRG9",223311.666666667,223238,"Q9NRG9","nonmito",""
"AACS","Q86V21",116686,124862.333333333,"Q86V21","nonmito",""
"AAGAB","Q6PD74",329239,347113,"Q6PD74","nonmito",""
"AAK1","Q2M2I8",98349.8,105879.333333333,"Q2M2I8","nonmito",""
"AAMDC","Q9H7C9",106394.833333333,125084,"Q9H7C9","nonmito",""
"AAMP","Q13685",208259.666666667,163736.333333333,"Q13685","nonmito",""
"AAR2","Q9Y312",190525.666666667,180508.333333333,"Q9Y312","nonmito",""
"AARS1","P49588",315475,367512.666666667,"P49588","nonmito",""
"AARS2","Q5JTZ9",160411.333333333,172224.666666667,"Q5JTZ9","mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",245355.666666667,185448,"0","nonmito",""
"AASDHPPT","Q9NRN7",382482,389811.333333333,"Q9NRN7","nonmito",""
"AASS","Q9UDR5",105482.666666667,124620.333333333,"Q9UDR5","mito",""
"AATF","Q9NY61",173458,153153,"Q9NY61","nonmito",""
"ABAT","P80404",80410.2,73578.1,"P80404","mito",""
"ABCB10","Q9NRK6",231942,208970.333333333,"Q9NRK6","mito",""
"ABCB7","O75027;O75027-2",130930.333333333,134421.666666667,"O75027","mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",70538.6,55298.6,"Q9NUT2","mito",""
"ABCC1","P33527;P33527-9",75598.0333333333,69414.6333333333,"P33527","nonmito",""
"ABCC10","Q5T3U5;Q5T3U5-2",109817,116698.333333333,"Q5T3U5","nonmito",""
"ABCC4","O15439",95457.5666666667,89722.8666666667,"O15439","nonmito",""
"ABCD3","P28288",246839.333333333,249691.333333333,"P28288","mito",""
"ABCE1","P61221",588140,516828,"P61221","nonmito",""
"ABCF1","Q8NE71",261353.333333333,260199,"Q8NE71","nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",357130.666666667,387926.666666667,"Q9UG63","nonmito",""
"ABCF3","Q9NUQ8",184813.666666667,162736.333333333,"Q9NUQ8","nonmito",""
"ABHD10","Q9NUJ1",151762,155054,"Q9NUJ1","mito",""
"ABHD11","Q8NFV4",153956.666666667,148433,"Q8NFV4","mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",132743.666666667,110804.666666667,"Q8N2K0","nonmito",""
"ABHD14B","Q96IU4",238084.666666667,220727,"Q96IU4","nonmito",""
"ABHD16A","O95870",104704.333333333,95261.7,"O95870","nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",82334.9333333333,69915.8666666667,"Q5VST6","nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",206612.666666667,228084,"Q8IZP0","nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",170380.666666667,202715.333333333,"Q9NYB9","nonmito",""
"ABL1","P00519;P00519-2",58468.4333333333,42167.0666666667,"P00519","nonmito",""
"ABL2","P42684;P42684-5;P42684-6;P42684-7",62487.1666666667,64343.4666666667,"P42684","nonmito",""
"ABLIM1","O14639;O14639-2;O14639-6",110965.333333333,89843.1666666667,"O14639","nonmito",""
"ABRACL","Q9P1F3",575347.666666667,708677.666666667,"Q9P1F3","nonmito",""
"ABRAXAS1","Q6UWZ7",53304.25,55951,"Q6UWZ7","nonmito",""
"ABRAXAS2","Q15018",157405,141595.666666667,"Q15018","nonmito",""
"ABT1","Q9ULW3",283943.666666667,246686.333333333,"Q9ULW3","nonmito",""
"ACAA1","P09110",344260.333333333,337439.333333333,"P09110","mito",""
"ACAA2","P42765",170530.666666667,147559.333333333,"P42765","mito",""
"ACACA","Q13085",136749,146795.333333333,"Q13085","mito",""
"ACAD10","Q6JQN1;Q6JQN1-5",100618.2,83033.7333333333,"Q6JQN1","mito",""
"ACAD11","Q709F0",173561.333333333,163177.333333333,"Q709F0","mito",""
"ACAD8","Q9UKU7",135304.666666667,113671.333333333,"Q9UKU7","mito",""
"ACAD9","Q9H845",135601,153526.333333333,"Q9H845","mito",""
"ACADM","P11310;P11310-2",495287,531504.666666667,"P11310","mito",""
"ACADS","P16219",119423,110549.666666667,"P16219","mito",""
"ACADSB","P45954",87394.9333333333,83209.9,"P45954","mito",""
"ACADVL","P49748;P49748-3",174360.666666667,145652.333333333,"P49748","mito",""
"ACAP2","Q15057",103811.666666667,99265.4,"Q15057","nonmito",""
"ACAT1","P24752",588246.333333333,540739.333333333,"P24752","mito",""
"ACAT2","Q9BWD1",513722.666666667,682183.666666667,"Q9BWD1","nonmito",""
"ACBD3","Q9H3P7",376018.666666667,405642.333333333,"Q9H3P7","nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",70789.7666666667,72097.5666666667,"Q5T8D3","nonmito",""
"ACBD6","Q9BR61",129154.666666667,130254,"Q9BR61","nonmito",""
"ACIN1","Q9UKV3",288146.666666667,293487.666666667,"Q9UKV3","nonmito",""
"ACLY","P53396",600659.333333333,696581,"P53396","mito",""
"ACO1","P21399",199456,197682.333333333,"P21399","nonmito",""
"ACO2","Q99798",236831.666666667,239474,"Q99798","mito",""
"ACOT1","Q86TX2",283118.666666667,263742,"Q86TX2","nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",313716.666666667,313576,"Q9NPJ3","mito",""
"ACOT7","O00154-4",691859,593273.666666667,"O00154","mito",""
"ACOT8","O14734",160563,124898.666666667,"O14734","nonmito",""
"ACOT9","Q9Y305",210014,186486.333333333,"Q9Y305","mito",""
"ACOX1","Q15067;Q15067-2",122190.333333333,139009,"Q15067","nonmito",""
"ACOX3","O15254;O15254-2",39107.1666666667,36706.5666666667,"O15254","nonmito",""
"ACP1","P24666",1016096.66666667,912346.666666667,"P24666","nonmito",""
"ACP2","P11117",256343,195184,"P11117","nonmito",""
"ACSF2","Q96CM8;Q96CM8-2;Q96CM8-3",56423.8333333333,37300.2333333333,"Q96CM8","mito",""
"ACSF3","Q4G176",86439.3333333333,79003.5,"Q4G176","mito",""
"ACSL1","P33121;P33121-2",116844,124040,"P33121","mito",""
"ACSL3","O95573",334044.333333333,337411,"O95573","nonmito",""
"ACSL4","O60488;O60488-2",131979.666666667,160078.333333333,"O60488","nonmito",""
"ACSL6","Q9UKU0;Q9UKU0-1;Q9UKU0-2;Q9UKU0-3;Q9UKU0-5;Q9UKU0-6;Q9UKU0-8;Q9UKU0-9",135477,108322.333333333,"Q9UKU0","mito",""
"ACSS1","Q9NUB1;Q9NUB1-2",86046.0333333333,56843.8666666667,"Q9NUB1","mito",""
"ACSS2","Q9NR19;Q9NR19-2",130442,109915,"Q9NR19","nonmito",""
"ACTB","P60709",2322710,2020436.66666667,"P60709","nonmito",""
"ACTBL2","Q562R1",2416530,2119653.33333333,"Q562R1","nonmito",""
"ACTC1","P68032",2660663.33333333,2425666.66666667,"P68032","nonmito",""
"ACTL6A","O96019",370183.666666667,359455,"O96019","nonmito",""
"ACTN1","P12814",424816.666666667,500141.333333333,"P12814","nonmito",""
"ACTN4","O43707",386913.666666667,454446.666666667,"O43707","nonmito",""
"ACTR10","Q9NZ32",136483.666666667,143440.666666667,"Q9NZ32","nonmito",""
"ACTR1A","P61163",614456.333333333,647282.666666667,"P61163","nonmito",""
"ACTR1B","P42025",217142,250754.666666667,"P42025","nonmito",""
"ACTR2","P61160",725190.666666667,713222,"P61160","nonmito",""
"ACTR3","P61158",516240,548553.666666667,"P61158","nonmito",""
"ACTR3B","Q9P1U1",690901.333333333,722466.666666667,"Q9P1U1","nonmito",""
"ACTR5","Q9H9F9",150792.333333333,171068.333333333,"Q9H9F9","nonmito",""
"ACTR6","Q9GZN1",237962.333333333,214496.333333333,"Q9GZN1","nonmito",""
"ACTR8","Q9H981",188808,171913,"Q9H981","nonmito",""
"ACVR2B","Q13705",98523.3,67932.1666666667,"Q13705","nonmito",""
"ACYP1","P07311",339564.666666667,282609.333333333,"P07311","nonmito",""
"ACYP2","P14621",84226.2666666667,78660.6666666667,"P14621","nonmito",""
"ADA","P00813",47113.9666666667,41875.5333333333,"P00813","nonmito",""
"ADAM10","O14672",140284,143148,"O14672","nonmito",""
"ADAM17","P78536",163655.666666667,135204.333333333,"P78536","nonmito",""
"ADAM9","Q13443",77248.7666666667,75806.8,"Q13443","nonmito",""
"ADAR","P55265;P55265-4",305186.666666667,318649,"P55265","nonmito",""
"ADAT2","Q7Z6V5;Q7Z6V5-2",141720.333333333,127902.666666667,"Q7Z6V5","nonmito",""
"ADD1","P35611;P35611-2;P35611-3;P35611-6",193307.666666667,218893.666666667,"P35611","nonmito",""
"ADD2","P35612",88562.6333333333,89418.4666666667,"P35612","nonmito",""
"ADD3","Q9UEY8-2",199539.666666667,214094.333333333,"Q9UEY8","nonmito",""
"ADGRL2","O95490;O95490-2;O95490-5;O95490-6;O95490-7",93678.1333333333,87418.8,"O95490","nonmito",""
"ADH5","P11766",487915.666666667,433172.333333333,"P11766","nonmito",""
"ADI1","Q9BV57",699349.333333333,660837,"Q9BV57","nonmito",""
"ADK","P55263",169421.333333333,179489.666666667,"P55263","nonmito",""
"ADNP","Q9H2P0",149802.333333333,142585,"Q9H2P0","nonmito",""
"ADO","Q96SZ5",151616,154365,"Q96SZ5","nonmito",""
"ADPGK","Q9BRR6;Q9BRR6-2",153751.666666667,143380.333333333,"Q9BRR6","nonmito",""
"ADPRS","Q9NX46",152230.333333333,134576.666666667,"Q9NX46","nonmito",""
"ADRM1","Q16186",552028,538826.666666667,"Q16186","nonmito",""
"ADSL","P30566",298482.666666667,290175.666666667,"P30566","nonmito",""
"ADSS2","P30520",568739,574075.666666667,"P30520","nonmito",""
"AFDN","P55196;P55196-5",217653,230775,"P55196","nonmito",""
"AFF4","Q9UHB7",146047,134639.333333333,"Q9UHB7","nonmito",""
"AFG3L2","Q9Y4W6",134520.333333333,121258,"Q9Y4W6","mito",""
"AGAP3","Q96P47;Q96P47-2;Q96P47-4",99693.7333333333,98373.2333333333,"Q96P47","nonmito",""
"AGFG1","P52594;P52594-2;P52594-3;P52594-4",132265.666666667,120836.666666667,"P52594","nonmito",""
"AGK","Q53H12",265087.333333333,267007,"Q53H12","mito",""
"AGL","P35573",247822.333333333,260853.666666667,"P35573","nonmito",""
"AGO1","Q9UL18",100243.733333333,89351.8,"Q9UL18","nonmito",""
"AGO2","Q9UKV8",126697.666666667,107591.666666667,"Q9UKV8","nonmito",""
"AGPAT1","Q99943",240766.333333333,213751,"Q99943","nonmito",""
"AGPAT4","Q9NRZ5",113444.333333333,111671.666666667,"Q9NRZ5","mito",""
"AGPAT5","Q9NUQ2",85312.8666666667,73729.9666666667,"Q9NUQ2","mito",""
"AGPS","O00116",305813.333333333,318320.333333333,"O00116","nonmito",""
"AGRN","O00468;O00468-3;O00468-4;O00468-5;O00468-6;O00468-7",30286,51696.4333333333,"O00468","nonmito",""
"AGTPBP1","Q9UPW5",93403,91737.3666666667,"Q9UPW5","nonmito",""
"AGTRAP","Q6RW13",435216,411555.666666667,"Q6RW13","nonmito",""
"AHCTF1","Q8WYP5;Q8WYP5-2;Q8WYP5-3",126886.333333333,119803,"Q8WYP5","nonmito",""
"AHCY","P23526",909707,875756.666666667,"P23526","nonmito",""
"AHCYL1","O43865",311888,305041.666666667,"O43865","mito",""
"AHCYL2","Q96HN2;Q96HN2-2",244819.666666667,264883,"Q96HN2","nonmito",""
"AHNAK","Q09666",104273.666666667,105791,"Q09666","nonmito",""
"AHSA1","O95433",664307.333333333,568355.333333333,"O95433","nonmito",""
"AHSG","P02765",162881.333333333,215998.333333333,"P02765","nonmito",""
"AIDA","Q96BJ3",252490.666666667,239880.666666667,"Q96BJ3","nonmito",""
"AIF1L","Q9BQI0;Q9BQI0-2;Q9BQI0-3",282422.333333333,144375.433333333,"Q9BQI0","nonmito",""
"AIFM1","O95831",329088.333333333,454819.333333333,"O95831","mito",""
"AIMP1","Q12904",361170.333333333,337897,"Q12904","nonmito",""
"AIMP2","Q13155",678808,789611,"Q13155","nonmito",""
"AIP","O00170",242200.666666667,268132.666666667,"O00170","nonmito",""
"AK1","P00568",390187.333333333,376407.333333333,"P00568","nonmito",""
"AK2","P54819;P54819-2",748957.666666667,794921.666666667,"P54819","mito",""
"AK3","Q9UIJ7",182168.666666667,152022,"Q9UIJ7","mito",""
"AK4","P27144",196899.333333333,187197.333333333,"P27144","mito",""
"AK6","Q9Y3D8",237069.333333333,222603,"Q9Y3D8","nonmito",""
"AKAP1","Q92667",69045.5,76721.1,"Q92667","mito",""
"AKAP11","Q9UKA4",41662.8666666667,44033.1666666667,"Q9UKA4","nonmito",""
"AKAP12","Q02952;Q02952-2;Q02952-3",76466.9,96832.9,"Q02952","nonmito",""
"AKAP13","Q12802;Q12802-2;Q12802-4",60718.1,78517.8666666667,"Q12802","nonmito",""
